file_path,mineral_name,formula,reference
/Volumes/Sajid's SSD/minxpocc/Ognitite/Ognitite_0_Ognitite_298.00_1.01_.cif,Ognitite,Ni Bi.₉₈ Te,"Barkov A. Y., Bindi L., Tamura N., Shvedov G. I., Winkler B., Stan C. V., Morgenroth W., Martin R. F., Zaccarini F., Stanley C. J., Ognitite, NiBiTe, a new mineral species, and Co-rich maucherite from the Ognit ultramafic complex, Eastern Sayans, Russia, Mineralogical Magazine, 83, 695–703 (2019)."
/Volumes/Sajid's SSD/minxpocc/Cuprospinel/Cuprospinel_0_Cuprospinel_298.00_1.01_.cif,Cuprospinel,Cu Fe₂ O₄,"Prince E., Treuting R. G., The structure of tetragonal copper ferrite Note: cell extrapolated from tetrahedra description, Acta Crystallographica, 9, 1025–1028 (1956)."
/Volumes/Sajid's SSD/minxpocc/Letovicite/Letovicite_0_Letovicite_298.00_1.01_.cif,Letovicite,S₂ N₃ O₈ H₁₃,"Leclaire A., Ledesert M., Monier J., Daoud A., Damak M., Structure du disulfate acide de triammonium. Une redetermination. Relations des chaines de liaisons hydrogene avec la morphologie et la conductivite eletrique _cod_database_code 1001784, Acta Crystallographica, Section B, 41, 209–213 (1985)."
/Volumes/Sajid's SSD/minxpocc/Bariopyrochlore/Bariopyrochlore_0_Bariopyrochlore_298.00_1.01_.cif,Bariopyrochlore,Nb₂ Ba.₅ O₇,"Groult D., Michel C., Raveau B., Sur de nouveaux pyrochlores lacunaires d'ions bivalents synthetises par echanges d'ions _cod_database_code 1001817, Journal of Inorganic and Nuclear Chemistry, 37, 2203–2205 (1975)."
/Volumes/Sajid's SSD/minxpocc/Cryptohalite/Cryptohalite_0_Cryptohalite_298.00_1.01_.cif,Cryptohalite,Si N₂ F₆ H₈,"Schlemper E. O., Hamilton W. C., Rush J. J., Structure of cubic ammonium fluosilicate: Neutron-diffraction and neutron-inelastic-scattering studies, Journal of Chemical Physics, 44, 2499–2505 (1966)."
/Volumes/Sajid's SSD/minxpocc/Steinhardtite/Steinhardtite_0_Steinhardtite_298.00_1.01_.cif,Steinhardtite,(Al.₃₈ Ni.₃₂ Fe.₃),"Bindi L., Yao N., Lin C., Hollister L. S., MacPherson G. J., Poirier G. R., Andronicos C. L., Distler V. V., Eddy M. P., Kostin A., Kryachko V., Steinhardt W. M., Yudovskaya M., Steinhardtite, a new body-centered-cubic allotropic form of aluminum from the Khatyrka CV3 carbonaceous chondrite, American Mineralogist, 99, 2433–2436 (2014)."
/Volumes/Sajid's SSD/minxpocc/Kochkarite/Kochkarite_0_Kochkarite_298.00_1.01_.cif,Kochkarite,Bi₃ Te₅.₂₅ Pb.₇₅,"Talybov A. G., Vainshtein B. K., An electron diffraction study of the structure of PbBi4Te7 Loality: synthetic, Soviet Physics Crystallography, 6, 432–438 (1962)."
/Volumes/Sajid's SSD/minxpocc/Tanteuxenite-(Lu)/Tanteuxenite-(Lu)_0_Tanteuxenite-(Lu)_298.00_1.01_.cif,Tanteuxenite-(Lu),Lu (Ti Ta) O₆,"Thorogood G. J., Avdeev M., Kennedy B. J., Structural studies of the aeschynite-euxenite transformation in the series Ln(TiTa)O6 Ln = lanthanide, Solid State Sciences, 12, 1263–1269 (2010)."
/Volumes/Sajid's SSD/minxpocc/Thorikosite/Thorikosite_0_Thorikosite_298.00_1.01_.cif,Thorikosite,(Pb₁.₅ Sb.₃ As.₂) O₂ Cl H.₅,"Rouse R. C., Dunn P. J., The structure of thorisokite, a naturally occurring member of the bismuth oxyhalide group, Journal of Solid State Chemistry, 57, 389–395 (1985)."
/Volumes/Sajid's SSD/minxpocc/Langisite/Langisite_0_Langisite_298.00_1.01_.cif,Langisite,Co (As.₉₅ Sb.₀₅),"Fjellvag H., Selte K., Stave F. E., On the structural and magnetic properties of Co1-tNitAs and CoAs1-xSbx, Acta Chemica Scandinavica, A38, 687–691 (1984)."
/Volumes/Sajid's SSD/minxpocc/Qingsongite/Qingsongite_0_Qingsongite_298.00_1.01_.cif,Qingsongite,B₁.₁ N.₉,"Dobrzhinetskaya L. F., Wirth R., Yang J., Green H. W., Hutcheon I. D., Weber P. K., Grew E. S., Qingsongite, natural cubic boron nitride: The first boron mineral from the Earth's mantle, American Mineralogist, 99, 764–772 (2014)."
/Volumes/Sajid's SSD/minxpocc/Mcalpineite/Mcalpineite_0_Mcalpineite_298.00_1.01_.cif,Mcalpineite,Te Cu₃ O₆,"Carbone C., Basso R., Cabella R., Martinelli A., Grice J. D., Lucchetti G., Mcalpineite from the Gambatesa mine, Italy, and redefinition of the species, American Mineralogist, 98, 1899–1905 (2013)."
/Volumes/Sajid's SSD/minxpocc/Tapiolite-(Fe)/Tapiolite-(Fe)_0_Tapiolite-(Fe)_298.00_1.01_.cif,Tapiolite-(Fe),Fe (Nb.₂ Ta₁.₈) O₆,"von Heidenstam. O., Neutron and X-ray diffraction studies on tapiolite and some synthetic substances of trirutile structure Note: Crystal A Note: Stalex diffractometer, Arkiv for Kemi, 28, 375–387 (1968)."
/Volumes/Sajid's SSD/minxpocc/Hatchite/Hatchite_0_Hatchite_298.00_1.01_.cif,Hatchite,(Pb Tl) Ag As₂ S₅,"Marumo F., Nowacki W., The crystal structure of hatchite, PbTlAgAs2S5, Zeitschrift fur Kristallographie, 125, 249–265 (1967)."
/Volumes/Sajid's SSD/minxpocc/Barringerite/Barringerite_0_Barringerite_298.00_1.01_.cif,Barringerite,Fe₆ P₃,"Hendricks S. B., Kosting P. R., The crystal structure of Fe2P, Fe2N, Fe3N and FeB, Zeitschrift fur Kristallographie, 74, 511–533 (1930)."
/Volumes/Sajid's SSD/minxpocc/Kawazulite/Kawazulite_0_Kawazulite_298.00_1.01_.cif,Kawazulite,Bi₂ (Te₂ Se),"Nakajima S., The crystal structure of Bi2Te3-xSex, Journal of Physics and Chemistry of Solids, 24, 479–485 (1963)."
/Volumes/Sajid's SSD/minxpocc/Sursassite/Sursassite_0_Sursassite_298.00_1.01_.cif,Sursassite,Mn₂ Al₃ Si₃ O₁₄ H₃,"Nagashima M., Akasaka M., Minakawa T., Libowitzky E., Armbruster T., Sursassite: hydrogen bonding, cation order, and pumpellyite intergrowth Sample Number: 1, American Mineralogist, 94, 1440–1449 (2009)."
/Volumes/Sajid's SSD/minxpocc/Romeite/Romeite_0_Romeite_298.00_1.01_.cif,Romeite,(Ca Na) Sb₂ O₇ H,"Zedlitz O., Die kristallstruktur von romeit und schneebergit, Zeitschrift fur Kristallographie, 81, 253–263 (1932)."
/Volumes/Sajid's SSD/minxpocc/Uranmicrolite/Uranmicrolite_0_Uranmicrolite_298.00_1.01_.cif,Uranmicrolite,Ta₂ U O₇,"Gasperin M., Contribution a l'etude de quelques oxydes doubles que forme le tantale avec l'etain, l'uranium et le calcium. _cod_database_code 1001776, Bulletin de la Societe Francaise de Mineralogie et de Cristallographie, 83, 1–21 (1960)."
/Volumes/Sajid's SSD/minxpocc/Maghemite/Maghemite_0_Maghemite_298.00_1.01_.cif,Maghemite,Fe₂.₆₆₇ O₄,"Pecharroman C., Gonzalez-Carreno T., Iglesias J. E., The infrared dielectric properties of maghemite, gamma-Fe2O3, from reflectance measurement on pressed powders Sample: a) idealized, Physics and Chemistry of Minerals, 22, 21–29 (1995)."
/Volumes/Sajid's SSD/minxpocc/Melanostibite/Melanostibite_0_Melanostibite_298.00_1.01_.cif,Melanostibite,Mn (Fe.₅ Sb.₅) O₃,"Moore P. B., Substitutions of the type (Sb0.5Fe0.5)-(Ti): The crystal structure of melanostibite, American Mineralogist, 53, 1104–1109 (1968)."
/Volumes/Sajid's SSD/minxpocc/Bideauxite/Bideauxite_0_Bideauxite_298.00_1.01_.cif,Bideauxite,Pb₂ Ag Cl₃ O (F H),"Cooper M. A., Hawthorne F. C., Merlino S., Pasero M., Perchiazzi N., Stereoactive lone-pair behavior of Pb in the crystal structure of bideauxite: Pb2AgCl3F(OH) Sample: CH, The Canadian Mineralogist, 37, 915–921 (1999)."
/Volumes/Sajid's SSD/minxpocc/Skinnerite/Skinnerite_0_Skinnerite_298.00_1.01_.cif,Skinnerite,Sb₂ Cu₆ S₆,"Makovicky E., Balic-Zunic T., The crystal structure of skinnerite, P2_1/c-Cu3SbS3, from powder data, The Canadian Mineralogist, 33, 655–663 (1995)."
/Volumes/Sajid's SSD/minxpocc/Weishanite/Weishanite_0_Weishanite_298.00_1.01_.cif,Weishanite,(Au.₇₅ Hg.₂₅),"Rolfe C., Hume-Rothery W., The constitution of alloys of gold and mercury, Journal of the Less-Common Metals, 13, 1–10 (1967)."
/Volumes/Sajid's SSD/minxpocc/Rambergite/Rambergite_0_Rambergite_298.00_1.01_.cif,Rambergite,(Mn.₉₅ Fe.₀₅) S,"Eriksson L., Kalinowski M. P., Mn1-xFexS, x=0.05, an example of an anti-wurtzite structure, Acta Crystallographica, Section E, 57, i92–i93 (2001)."
/Volumes/Sajid's SSD/minxpocc/Sanmartinite/Sanmartinite_0_Sanmartinite_298.00_1.01_.cif,Sanmartinite,(Cu.₄₅ Zn.₅₅) W O₄,"Redfern S. A. T., Bell A. M. T., Henderson M. B., Schofield P. F., Rietveld study of the structural phase transition in the sanmartinite (ZnWO4)- cuproscheelite (CuWO4) solid solution Sample: x=0.55, European Journal of Mineralogy, 7, 1019–1028 (1995)."
/Volumes/Sajid's SSD/minxpocc/Rosasite/Rosasite_0_Rosasite_298.00_1.01_.cif,Rosasite,Cu₁.₂ Zn.₈ C O₅ H₂,"Perchiazzi N., Crystal structure determination and Rietveld refinement of rosasite and mcguinnessite, Zeitschrift fur Kristallographie Supplement, 23, 505–510 (2006)."
/Volumes/Sajid's SSD/minxpocc/Petalite-beta/Petalite-beta_0_Petalite-beta_298.00_27100.00_.cif,Petalite-beta,Li₃ Al₃ Si₁₂ O₃₀,"Ross N. L., Zhao J., Slebodnick C., Spencer E. C., Chakoumakos B. C., Petalite under pressure: Elastic behavior and phase stability Note: P = 2.71 GPa, American Mineralogist, 100, 714–721 (2015)."
/Volumes/Sajid's SSD/minxpocc/Virgilite/Virgilite_0_Virgilite_298.00_1.01_.cif,Virgilite,Li.₃₃₃ (Al.₃₃₃ Si.₆₆₇) O₂,"Li C. T., The crystal structure of LiAlSi2O6 III (high-quartz solid solution), Zeitschrift fur Kristallographie, 127, 327–348 (1968)."
/Volumes/Sajid's SSD/minxpocc/Merrihueite/Merrihueite_0_Merrihueite_298.00_1.01_.cif,Merrihueite,K₂ Mg₅ Si₁₂ O₃₀,"Khan A. A., Baur W. H., Forbes W. C., Synthetic magnesian merrihueite, dipotassium pentamagnesium dodecasilicate: a tetrahedral magnesiosilicate framework crystal structure, Acta Crystallographica, Section B, 28, 267–272 (1972)."
