file_path,mineral_name,formula,reference
/Volumes/Sajid's SSD/MinX-EM/1000036/9008508.cif,Neodymium,Nd,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000037/9008476.cif,Nickel,Ni,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Cubic closest packed, ccp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000038/9008546.cif,Niobium,Nb,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Body centered cubic, bcc, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000039/9008478.cif,Palladium,Pd,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Cubic closest packed, ccp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000040/9009088.cif,Paratellurite,O₂ Te,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York, Crystal Structures, 1, 239–444 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000053/9000490.cif,Periclase,Mg O,"Hazen, R.. M.., , American Mineralogist, 61, 266–271 (1976)."
/Volumes/Sajid's SSD/MinX-EM/1000054/9008480.cif,Platinum,Pt,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Cubic closest packed, ccp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000057/9008512.cif,Rhenium,Re,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000058/9008513.cif,Ruthenium,Ru,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000059/9008565.cif,Silicon,Si,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Sample at T = 300 K, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000060/9013045.cif,Silver,Ag,"Suh, I.-K.., Ohta, H.., Waseda, Y.., High-temperature thermal expansion of six metallic elements measured by dilatation method and X-ray diffraction Sample: at T = 293 K, Journal of Materials Science, 23, 757–760 (1988)."
/Volumes/Sajid's SSD/MinX-EM/1000064/9008557.cif,Vanadium,V,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Body centered cubic, bcc, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000063/9006486.cif,Tungsten,W,"Dubrovinsky, L.. S.., Saxena, S.. K.., Thermal expansion of periclase (MgO) and tungsten (W) to melting temperatures Sample: T = 298 K, Physics and Chemistry of Minerals, 24, 547–550 (1997)."
/Volumes/Sajid's SSD/MinX-EM/1000079/9008545.cif,Sodium,Na,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Sample at T = 293 K Body centered cubic, bcc, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000068/1009000.cif,,As Ga O₄,"Philippot, E., Armand, P., Yot, P., Cambon, O., Goiffon, A., McIntyre, G. J., Bordet, P., Neutron and x-ray structure refinements between 15 and 1083 K of piezoelectric gallium arsenate, Ga As O4: temperature and pressure behavior compared with other $-alpha-quartz materials, Journal of Solid State Chemistry, 146, 114–123 (1999)."
/Volumes/Sajid's SSD/MinX-EM/1000065/9008522.cif,Zinc,Zn,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000158/9008860.cif,,Al N,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Note: wurtzite structure, Crystal Structures, 1, 85–237 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000125/1100043.cif,Sphalerite,S Zn,"Jumpertz, E.. A.., Electron-density distribution in zinc blende, Zeitschrift f\""ur Elektrochemie und angewandte physikalische Chemie, 59, 419–425 (1955)."
/Volumes/Sajid's SSD/MinX-EM/1000160/9008860.cif,,Al N,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Note: wurtzite structure, Crystal Structures, 1, 85–237 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000159/9008860.cif,,Al N,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Note: wurtzite structure, Crystal Structures, 1, 85–237 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000161/9008860.cif,,Al N,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Note: wurtzite structure, Crystal Structures, 1, 85–237 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000164/9008834.cif,Qingsongite,B N,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Note: ZnS structure, sphalerite structure, Crystal Structures, 1, 85–237 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000162/9008569.cif,Graphite,C,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000163/9008834.cif,Qingsongite,B N,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Note: ZnS structure, sphalerite structure, Crystal Structures, 1, 85–237 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000165/9008834.cif,Qingsongite,B N,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Note: ZnS structure, sphalerite structure, Crystal Structures, 1, 85–237 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000180/9009049.cif,Uraninite,O₂ U,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Fluorite structure, Crystal Structures, 1, 239–444 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000203/9008488.cif,Beryllium,Be,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000204/9008490.cif,Cadmium,Cd,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000207/9008506.cif,Magnesium,Mg,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000206/9008501.cif,Hafnium,Hf,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000205/9008492.cif,Cobalt,Co,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000208/9008512.cif,Rhenium,Re,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000211/9008517.cif,Titanium,Ti,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000209/9008513.cif,Ruthenium,Ru,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000214/9008523.cif,Zirconium,Zr,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000213/9008522.cif,Zinc,Zn,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000212/9010984.cif,,Y,"Spedding, F.. H.., Daane, A.. H.., Herrmann, K.. W.., The crystal structures and lattice parameters of high-purity scandium, yttrium and the rare earth metals Locality: synthetic Note: sample 99.4% pure, Acta Crystallographica, 9, 559–563 (1956)."
/Volumes/Sajid's SSD/MinX-EM/1000215/9011344.cif,,N₂ O₆ Sr,"Nowotny, H.., Heger, G.., , Acta Crystallographica, Section C, 39, 952–956 (1983)."
/Volumes/Sajid's SSD/MinX-EM/1000218/9008677.cif,,Br Na,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York rocksalt structure, Crystal Structures, 1, 85–237 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000217/9008678.cif,Halite,Cl Na,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York rocksalt structure, Crystal Structures, 1, 85–237 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000216/9008081.cif,Corundum,Al₂ O₃,"Newnham, R.. E.., de Haan,. Y.. M.., Refinement of the alpha Al2O3, Ti2O3, V2O3 and Cr2O3 structures, Zeitschrift fur Kristallographie, 117, 235–237 (1962)."
/Volumes/Sajid's SSD/MinX-EM/1000219/9008667.cif,Griceite,F Li,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York rocksalt structure, Crystal Structures, 1, 85–237 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000226/9011344.cif,,N₂ O₆ Sr,"Nowotny, H.., Heger, G.., , Acta Crystallographica, Section C, 39, 952–956 (1983)."
/Volumes/Sajid's SSD/MinX-EM/1000224/5910007.cif,,N₂ O₆ Pb,"Wyckoff, R.. W.. G.., Crystal structure of lead(II) nitrate, Crystals structures, Vol. II, ,  (1951)."
/Volumes/Sajid's SSD/MinX-EM/1000225/9011343.cif,Nitrobarite,Ba N₂ O₆,"Nowotny, H.., Heger, G.., , Acta Crystallographica, Section C, 39, 952–956 (1983)."
/Volumes/Sajid's SSD/MinX-EM/1000232/9000107.cif,Sphalerite,S Zn,"Skinner, B.. J.., Unit-cell edges of natural and synthetic sphalerites, American Mineralogist, 46, 1399–1411 (1961)."
/Volumes/Sajid's SSD/MinX-EM/1000235/1000043.cif,Fluorite,Ca F₂,"Cheetham, A. K., Fender, B. E. F., Cooper, M. J., Defect structure of calcium fluoride containing excess anions: I. Bragg scattering, Journal of Physics C, 4, 3107–3121 (1971)."
/Volumes/Sajid's SSD/MinX-EM/1000233/9008694.cif,Galena,Pb S,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York rocksalt structure, Crystal Structures, 1, 85–237 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000234/2101499.cif,,C,"Yamanaka, T.., Morimoto, S.., Isotope effect on anharmonic thermal atomic vibration and \k refinement of ^12^C and ^3^C diamond, Acta Crystallographica Section B, 52, 232–238 (1996)."
/Volumes/Sajid's SSD/MinX-EM/1000239/9007554.cif,Nitratine,N Na O₃,"Paul, G.. L.., Pryor, A.. W.., The study of sodium nitrate by neutron diffraction Sample: T = 20 C, Acta Crystallographica, Section B, 28, 2700–2702 (1972)."
/Volumes/Sajid's SSD/MinX-EM/1000237/9000490.cif,Periclase,Mg O,"Hazen, R.. M.., , American Mineralogist, 61, 266–271 (1976)."
/Volumes/Sajid's SSD/MinX-EM/1000238/2100992.cif,calcite,C Ca O₃,"Maslen, E.. N.., Streltsov, V.. A.., Streltsova, N.. R.., X-ray study of the electron density in calcite, CaCo~3~, Acta Crystallographica Section B, 49, 636–641 (1993)."
/Volumes/Sajid's SSD/MinX-EM/1000243/9008081.cif,Corundum,Al₂ O₃,"Newnham, R.. E.., de Haan,. Y.. M.., Refinement of the alpha Al2O3, Ti2O3, V2O3 and Cr2O3 structures, Zeitschrift fur Kristallographie, 117, 235–237 (1962)."
/Volumes/Sajid's SSD/MinX-EM/1000248/9008577.cif,Sulphur,S₈,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000250/9008106.cif,Celestine,O₄ S Sr,"Garske, D.., Peacor, D.. R.., Refinement of the structure of celestite SrSO4, Zeitschrift fur Kristallographie, 121, 204–210 (1965)."
/Volumes/Sajid's SSD/MinX-EM/1000261/9013529.cif,Magnetite,Fe₃ O₄,"Bosi, F.., Halenius, U.., Skogby, H.., Crystal chemistry of the magnetite-ulvospinel series Note: Mgt100, American Mineralogist, 94, 181–189 (2009)."
/Volumes/Sajid's SSD/MinX-EM/1000253/9008694.cif,Galena,Pb S,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York rocksalt structure, Crystal Structures, 1, 85–237 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000254/9011343.cif,Nitrobarite,Ba N₂ O₆,"Nowotny, H.., Heger, G.., , Acta Crystallographica, Section C, 39, 952–956 (1983)."
/Volumes/Sajid's SSD/MinX-EM/1000263/5000115.cif,Pyrite,Fe S₂,"Brostigen, G., Kjekshus, A., Redetermined crystal structure of Fe S2 (pyrite), Acta Chemica Scandinavica (1-27,1973-42,1988), 23, 2186–2188 (1969)."
/Volumes/Sajid's SSD/MinX-EM/1000262/9013529.cif,Magnetite,Fe₃ O₄,"Bosi, F.., Halenius, U.., Skogby, H.., Crystal chemistry of the magnetite-ulvospinel series Note: Mgt100, American Mineralogist, 94, 181–189 (2009)."
/Volumes/Sajid's SSD/MinX-EM/1000264/5000115.cif,Pyrite,Fe S₂,"Brostigen, G., Kjekshus, A., Redetermined crystal structure of Fe S2 (pyrite), Acta Chemica Scandinavica (1-27,1973-42,1988), 23, 2186–2188 (1969)."
/Volumes/Sajid's SSD/MinX-EM/1000266/5000115.cif,Pyrite,Fe S₂,"Brostigen, G., Kjekshus, A., Redetermined crystal structure of Fe S2 (pyrite), Acta Chemica Scandinavica (1-27,1973-42,1988), 23, 2186–2188 (1969)."
/Volumes/Sajid's SSD/MinX-EM/1000265/5000115.cif,Pyrite,Fe S₂,"Brostigen, G., Kjekshus, A., Redetermined crystal structure of Fe S2 (pyrite), Acta Chemica Scandinavica (1-27,1973-42,1988), 23, 2186–2188 (1969)."
/Volumes/Sajid's SSD/MinX-EM/1000286/1000032.cif,Corundum,Al₂ O₃,"Lutterotti, L., Scardi, P., Simultaneous structure and size-strain refinement by the Rietveld method, Journal of Applied Crystallography, 23, 246–252 (1990)."
/Volumes/Sajid's SSD/MinX-EM/1000287/1000032.cif,Corundum,Al₂ O₃,"Lutterotti, L., Scardi, P., Simultaneous structure and size-strain refinement by the Rietveld method, Journal of Applied Crystallography, 23, 246–252 (1990)."
/Volumes/Sajid's SSD/MinX-EM/1000288/1000032.cif,Corundum,Al₂ O₃,"Lutterotti, L., Scardi, P., Simultaneous structure and size-strain refinement by the Rietveld method, Journal of Applied Crystallography, 23, 246–252 (1990)."
/Volumes/Sajid's SSD/MinX-EM/1000289/1000032.cif,Corundum,Al₂ O₃,"Lutterotti, L., Scardi, P., Simultaneous structure and size-strain refinement by the Rietveld method, Journal of Applied Crystallography, 23, 246–252 (1990)."
/Volumes/Sajid's SSD/MinX-EM/1000291/1000032.cif,Corundum,Al₂ O₃,"Lutterotti, L., Scardi, P., Simultaneous structure and size-strain refinement by the Rietveld method, Journal of Applied Crystallography, 23, 246–252 (1990)."
/Volumes/Sajid's SSD/MinX-EM/1000291/1000309/1508503.cif,,Al La O₃,"Hayward, S.A.., Morrison, F.D.., Redfern, S.A.T.., Salje, E.K.H.., Scott, J.F.., Knight, K.S.., Tarantino, S.., Glazer, A.M.., Shuvaeva, V.., Daniel, P.., Zhang, M.., Carpenter, M.A.., Transformation processes in LaAlO3: neutron diffraction, dielectric, thermal, optical and Raman studies, Physical Review B, 72,  (2005)."
/Volumes/Sajid's SSD/MinX-EM/1000290/1000032.cif,Corundum,Al₂ O₃,"Lutterotti, L., Scardi, P., Simultaneous structure and size-strain refinement by the Rietveld method, Journal of Applied Crystallography, 23, 246–252 (1990)."
/Volumes/Sajid's SSD/MinX-EM/1000295/1000032.cif,Corundum,Al₂ O₃,"Lutterotti, L., Scardi, P., Simultaneous structure and size-strain refinement by the Rietveld method, Journal of Applied Crystallography, 23, 246–252 (1990)."
/Volumes/Sajid's SSD/MinX-EM/1000299/2101499.cif,,C,"Yamanaka, T.., Morimoto, S.., Isotope effect on anharmonic thermal atomic vibration and \k refinement of ^12^C and ^3^C diamond, Acta Crystallographica Section B, 52, 232–238 (1996)."
/Volumes/Sajid's SSD/MinX-EM/1000300/2101499.cif,,C,"Yamanaka, T.., Morimoto, S.., Isotope effect on anharmonic thermal atomic vibration and \k refinement of ^12^C and ^3^C diamond, Acta Crystallographica Section B, 52, 232–238 (1996)."
/Volumes/Sajid's SSD/MinX-EM/1000313/1010298.cif,,Fe Se,"Haegg, G., Kindstroem, A. L., Roentgenuntersuchungen am System Eisen - Selen., Zeitschrift fuer Physikalische Chemie, Abteilung B: Chemie der Elementarprozesse, Aufbau der Materie, 22, 453–464 (1933)."
/Volumes/Sajid's SSD/MinX-EM/1000319/2105478.cif,,Ga Se,"Cenzual, K.., Gelato, L.M.., Penzo, M.., Parthe, E.., Inorganic structure types with revised space groups.I., Acta Crystallographica B, 47, 433–439 (1991)."
/Volumes/Sajid's SSD/MinX-EM/1000325/9009931.cif,,Ag Ga S₂,"Brandt, G.., Rauber, A.., Schneider, J.., , Solid State Communications, 12, 481–483 (1973)."
/Volumes/Sajid's SSD/MinX-EM/1000326/9006864.cif,Tausonite,O₃ Sr Ti,"Mitchell, R.. H.., Chakhmouradian, A.. R.., Woodward, P.. M.., Crystal chemistry of perovskite-type compounds in the tausonite-loparite series, (Sr1-2xNaxLax)TiO3 Sample: x = 0.00, Physics and Chemistry of Minerals, 27, 583–589 (2000)."
/Volumes/Sajid's SSD/MinX-EM/1000329/9008835.cif,,B P,"Wyckoff, R.. W.. G.., Second edition. Interscience Publishers, New York, New York Note: ZnS structure, sphalerite structure, Crystal Structures, 1, 85–237 (1963)."
/Volumes/Sajid's SSD/MinX-EM/1000341/5000220.cif,Chromium,Cr,"Swanson, H. E., Gilfrich, N. T., Ugrinic, G. M., Standard X-ray diffraction powder patterns, National Bureau of Standards (U.S.), Circular, 539, 5–5 (1955)."
