mineral_name,formula,reference
Dysprosium,Dy,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Sample at T = 49 K Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
Kalicinite,K D C O₃,"Thomas J. O., Tellgren R., Olovsson I., Hydrogen-bond studies. LXXXIV. An X-ray diffraction study of the structures of KHCO3 and KDCO3 at 298, 219 and 95 K Note: T = 95 K, Acta Crystallographica, Section B, 30, 1155–1166 (1974)."
Cubanite,Cu Fe₂ S₃,"McCammon C. A., Zhang J., Hazen R. M., Finger L. W., High-pressure crystal chemistry of cubanite, CuFe2S3 P = 3.6 GPa, American Mineralogist, 77, 937–944 (1992)."
Andradite,Si₃ Fe₂ Ca₃ O₁₂,"Hazen R. M., Finger L. W., High-pressure crystal chemistry of andradite and pyrope: Revised procedures for high-pressure diffraction experiments P = 12.5 GPa, American Mineralogist, 74, 352–359 (1989)."
Benitoite,Ba Ti Si₃ O₉,"Hejny C., Miletich R., Jasser A., Schouwink P., Crichton W., Kahlenberg V., Second-order P6c2-P31c transition and structural crystallography of the cyclosilicate benitoite, BaTiSi3O9, at high pressure Note: P = 6.14 GPa, American Mineralogist, 97, 1749–1763 (2012)."
Kalininite,Zn Cr₂ S₄,"Wittlinger J., Werner S., Schulz H., On the amorphisation of ZnCr2S4 spinel under high pressure: x-ray diffraction studies Sample: P = 7.19 GPa, Physics and Chemistry of Minerals, 24, 597–600 (1997)."
Rubidium,Rb,"Barrett C. S., X-ray study of the alkali metals at low temperatures Sample: at T = 5 K Note: lattice parameters are average of 3 values, Acta Crystallographica, 9, 671–677 (1956)."
Luogufengite,Fe₂ O₃,"Gich M., Frontera C., Roig A., Taboada E., Molins E., Rechenberg H. R., Ardisson J. D., Macedo W. A. A., Ritter C., Hardy V., Sort J., Skumryev V., Nogues J., High- and low-temperature crystal and magnetic structures of e-Fe2O3 and their correlation to its magnetic properties Note: T = 10 K, Chemistry of Materials, 18, 3889–3897 (2006)."
Litharge,Pb O,"Boher P., Garnier P., Gavarri J. R., Hewat A. W., Monoxyde quadratique PbO alpha(I): Description de la transition structurale ferroelastique Method: Neutron Diffraction T = 2 K, Journal of Solid State Chemistry, 57, 343–350 (1985)."
Berlinite,Al P O₄,"Muraoka Y., Kihara K., The temperature dependence of the crystal structure of berlinite, a quartz-type form of AlPO4 Sample: T = 631 C, Physics and Chemistry of Minerals, 24, 243–253 (1997)."
Bromellite,Be O,"Hazen R. M., Finger L. W., High-pressure and high-temperature crystal chemistry of beryllium oxide Note: T = 1183 K, Journal of Applied Physics, 59, 3728–3733 (1986)."
Aegirine,Si₂ Fe Na O₆,"Cameron M., Sueno S., Prewitt C. T., Papike J. J., High-temperature crystal chemistry of acmite, diopside, hedenbergite, jadeite, spodumene, and ureyite T = 800 C pyroxene, American Mineralogist, 58, 594–618 (1973)."
Cristobalite,Si O₂,"Pluth J. J., Smith J. V., Faber J., Crystal structure of low cristobalite at 10, 293, and 473 K: Variation of framework geometry with temperature Sample: T = 10 K, Journal of Applied Physics, 57, 1045–1049 (1985)."
Leonite,K₂ Mg S₂ O₁₂ H₈,"Hertweck B., Giester G., Libowitzky E., The crystal structures of the low-temperature phases of leonite-type compounds, K2Me(SO4)2.4H2O (Me=Mg,Mn,Fe) Sample: K2Mg(SO4)2.4H2O, T = 100 K, American Mineralogist, 86, 1282–1292 (2001)."
Reedmergnerite,Na B Si₃ O₈,"Downs R. T., Yang H., Hazen R. M., Finger L. W., Prewitt C. T., Compressibility mechanisms of alkali feldspars: New data from reedmergnerite Sample from Joseph Smith #1 mine, Duchesne Co., Utah,  NMNH 140 P = 4.68 GPa, American Mineralogist, 84, 333–340 (1999)."
Cesium,Cs,"Barrett C. S., X-ray study of the alkali metals at low temperatures Sample: at T = 5 K Note: lattice parameters are average of 4 values, Acta Crystallographica, 9, 671–677 (1956)."
Cuproiridsite,Cu Ir₂ S₄,"Furubayashi T., Matsumoto T., Hagino T., Nagata S., Structural and magnetic studies of metal-insulator transition in thiospinel CuIr2S4 Sample: T = 10 K, low temperature form, Journal of the Physical Society of Japan, 63, 3333–3339 (1994)."
Brushite,Ca P O₆ D₅,"Schofield P. F., Knight K. S., van der. Houwen. J. A. M., Valsami-Jones E., The role of hydrogen bonding in the thermal expansion and dehydration of brushite, di-calcium phosphate dihydrate Sample: T = 4.2 K, Physics and Chemistry of Minerals, 31, 606–624 (2004)."
Grossular,Ca₃ Al₂ Si₃ O₁₂,"Hazen R. M., Finger L. W., Crystal structures and compressibilities of pyrope and grossular to 60 kbar P = 1 bar, American Mineralogist, 63, 297–303 (1978)."
Stishovite,Si O₂,"Yamanaka T., Fukuda T., Tsuchiya J., Bonding character of SiO2 stishovite under high pressures up to 30 GPa Sample: P = 5.23 GPa, Physics and Chemistry of Minerals, 29, 633–641 (2002)."
Clinobisvanite,Bi V O₄,"Sleight A. W., Chen H-Y., Ferretti A., Cox D. E., Crystal growth and structure of BiVO4 Sample: T = 4.5 K, Materials Research Bulletin, 14, 1571–1581 (1979)."
Gillespite,Ba Fe Si₄ O₁₀,"Hazen R. M., Finger L. W., High-pressure and high-temperature crystallographic study of the gillespite I-II phase transition P = 1 bar, American Mineralogist, 68, 595–603 (1983)."
Meridianiite,Mg S O₁₅ D₂₂,"Fortes A. D., Wood I. G., Knight K. S., The crystal structure and thermal expansion tensor of MgSO4-11D2O (meridianiite) determined by neutron powder diffraction Note: T = 4.2 K, Physics and Chemistry of Minerals, 35, 207–221 (2008)."
Alabandite,Mn S,"McCammon C. A., Static compression of alpha-MnS at 298 K to 21 GPa Sample: Run #160, P = 21.1 GPa, Physics and Chemistry of Minerals, 17, 636–641 (1991)."
Westerveldite,Fe As,"Lyman P. S., Prewitt C. T., Room- and high-pressure crystal chemistry of CoAs and FeAs Note: anisoB's taken from ICSD Sample: P = 8.3 GPa, Acta Crystallographica, Section B, 40, 14–20 (1984)."
Crocoite,Pb Cr O₄,"Knight K. S., A high temperature structural phase transition in crocoite (PbCrO4) at 1068 K: crystal structure refinement at 1073 K and thermal expansion tensor determination at 1000 K Sample: the high temperature form at T = 1073 K, Mineralogical Magazine, 64, 291–300 (2000)."
Magnetite,Fe₃ O₄,"Fjellvag H., Hauback B. C., Vogt T., Stolen S., Monoclinic nearly stoichiometric wustite at low temperatures Sample: Kjeller, T = 8 K, American Mineralogist, 87, 347–349 (2002)."
Modderite,Co As,"Lyman P. S., Prewitt C. T., Room- and high-pressure crystal chemistry of CoAs and FeAs Note: anisoB's taken from ICSD Sample: P = 4.90 GPa, Acta Crystallographica, Section B, 40, 14–20 (1984)."
Neighborite,Na Mg F₃,"Martin C. D., Crichton W. A., Liu H., Prakapenka V., Chen J., Parise J. B., Rietveld structure refinement of perovskite and post-perovskite phases of NaMgF3 (neighborite) at high pressures Sample: (a), P = 27 GPa, American Mineralogist, 91, 1703–1706 (2006)."
Scandium,Sc,"Vohra Y. K., Grosshans W., Holzapfel W. B., High-pressure phase transformation in scandium Sample: at P = 33.5 GPa, Physical Review, B25, 6019–6021 (1982)."
Natrolite,Si₃ Al₂ Na₂ O₁₀,"Wang H., Bish D. L., A PH2O-dependent structural phase transition in the zeolite natrolite Sample: alpha1-metanatrolite Note: T = 400 C, P = 0.15 mbar, American Mineralogist, 93, 1191–1194 (2008)."
Behoite,Be O₂ D₂,"Jacobs H., Niemann A., Kockelmann W., Low temperature investigations of hydrogen bridge bonds in the hydroxides beta-Be(OH)2 and epsilon-Zn(OH)2 by Raman-spectroscopy as well as X-ray and neutron diffraction Sample: T = 5 K, Zeitschrift fur Anorganische und Allgemeine Chemie, 631, 1247–1254 (2005)."
Xifengite,Fe₅ Si₃,"Santamaria-Perez D., Nuss J., Haines J., Jansen M., Vegas A., Iron silicides and their corresponding oxides: a high-pressure study of Fe5Si3 Note: P = 30 GPa, Solid State Sciences, 6, 673–678 (2004)."
Argutite,Ge O₂,"Haines J., Leger J. M., Chateau C., Pereira A. S., Structural evolution of rutile-type and CaCl2-type germanium dioxide at high pressure Sample: rutile-type, P = 16.1 GPa, Physics and Chemistry of Minerals, 27, 575–582 (2000)."
Diopside,Mg Ca Si₂ O₆,"Thompson R. M., Downs R. T., The crystal structure of diopside at pressure to 10 GPa Sample: P = 8.88 GPa, American Mineralogist, 93, 177–186 (2008)."
Kaolinite,Al₂ Si₂ O₉ H₄,"Bish D. L., Rietveld refinement of the kaolinite structure at 1.5 K Note: sample at T = 1.5 K, Clays and Clay Minerals, 41, 738–744 (1993)."
Iron,Fe,"Nishihara Y., Nakajima Y., Akashi A., Tsujino N., Takahashi E., Funakoshi K., Higo Y., Isothermal compression of face-centered cubic iron Note: gamma iron, Sample M605, P = 27.44 GPa, T = 1273 K, American Mineralogist, 97, 1417–1420 (2012)."
Titanium-beta,Ti,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Sample at T = 1173 K Body centered cubic, bcc, structure, Crystal Structures, 1, 7–83 (1963)."
Titanium,Ti,"Chebotareva E. S., Nuzhdina S. G., Observation of omega-titanium in a composite hard facing alloy based on fine-grain diamonds Sample: at P = 4 GPa, known as the omega phase, Fizika Metallov i Metallovedenie, 36, 200–202 (1973)."
