file_path,mineral_name,formula,reference
/Volumes/Sajid's SSD/MinX-EQ/Lukechangite-(Ce)/0_Lukechangite-(Ce)_298.00_1.00_.cif,Lukechangite-(Ce),Na₃ Ce₂ C₄ O₁₂ F,"Grice J. D., Chao G. Y., Lukechangite-(Ce), a new rare-earth-fluorocarbonate mineral from Mont Saint-Hilaire, Quebec Note: U(1,2) for Na1, O1, O2 and F changed to match symmetry constraints. Note: U(2,3) for O2 changed to match symmetry constraints., American Mineralogist, 82, 1255–1260 (1997)."
/Volumes/Sajid's SSD/MinX-EQ/Tuhualite/0_Tuhualite_298.00_1.00_.cif,Tuhualite,Fe₂ Si₆ O₁₅ Na,"Merlino S., Tuhualite crystal structure Note: Position of H2O not determined in paper, Science, 166, 1399–1401 (1969)."
/Volumes/Sajid's SSD/MinX-EQ/Fibroferrite/0_Fibroferrite_298.00_1.00_.cif,Fibroferrite,Fe S O₁₀ H₁₁,"Ventruti G., Ventura G. D., Bellatreccia F., Lacalamita M., Schingaro E., Hydrogen bond system and vibrational spectroscopy of the iron sulfate fibroferrite, Fe(OH)SO4*5H2O, European Journal of Mineralogy, 28, 943–952 (2016)."
/Volumes/Sajid's SSD/MinX-EQ/Osbornite/0_Osbornite_298.00_1.00_.cif,Osbornite,Ti N,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York rocksalt structure, Crystal Structures, 1, 85–237 (1963)."
/Volumes/Sajid's SSD/MinX-EQ/Bismutite/0_Bismutite_298.00_1.00_.cif,Bismutite,Bi₂ C O₅,"Grice J. D., A solution to the crystal structures of bismutite and beyerite, The Canadian Mineralogist, 40, 693–698 (2002)."
/Volumes/Sajid's SSD/MinX-EQ/Marokite/0_Marokite_280.00_1.00_.cif,Marokite,Ca Mn₂ O₄,"Zouari S., Ranno L., Cheikh-Rouhou A., Isnard O., Pernet M., Wolfers P., Strobel P., New model for the magnetic structure of the marokite-type oxide CaMn2O4 Sample: T = 280 K, Journal of Alloys and Compounds, 353, 5–11 (2003)."
/Volumes/Sajid's SSD/MinX-EQ/Carnotite/0_Carnotite_298.00_1.00_.cif,Carnotite,K U V O₆,"Sundberg I., Sillen L. G., On the crystal structure of KUO2VO4 (synthetic anhydrous carnotite), Arkiv for Kemi, 1, 337–351 (1949)."
/Volumes/Sajid's SSD/MinX-EQ/Rorisite/0_Rorisite_298.00_1.00_.cif,Rorisite,Ca Cl F,"Liebich W., Nicollin D., Refinement of the PbFCl types BaFI, BaFBr and CaFCl Note: matlockite structure, Acta Crystallographica, Section B, 33, 2790–2794 (1977)."
/Volumes/Sajid's SSD/MinX-EQ/Borcarite/0_Borcarite_298.00_1.00_.cif,Borcarite,Ca₄ Mg B₄ C₂ O₁₈ H₆,"Burns P. C., Hawthorne F. C., Hydrogen bonding in borcarite, an unusual borate-carbonate mineral, Mineralogical Magazine, 59, 297–304 (1995)."
/Volumes/Sajid's SSD/MinX-EQ/Bournonite/0_Bournonite_298.00_1.00_.cif,Bournonite,Pb Sb Cu S₃,"Edenharter A., Nowacki W., Takeuchi Y., Verfeinerung der kristallstruktur von bournonit [SbS3)2|Cu(IV)2PB(VII)Pb(VIII)] und von seligmannit [(AsS3)2)|Cu(IV)2Pb(VII)PB(VIII)], Zeitschrift fur Kristallographie, 131, 397–417 (1970)."
/Volumes/Sajid's SSD/MinX-EQ/Mopungite/0_Mopungite_298.00_1.00_.cif,Mopungite,Na Sb (O₆ H₆),"Schrewelius N., Rontgenuntersuchung der verbindungen NaSb(OH)6, NaSbF6, NaSbO3 und gleichartiger stoffe, Zeitschrift fur Anorganische und Allgemeine Chemie, 238, 241–254 (1938)."
/Volumes/Sajid's SSD/MinX-EQ/Colquiriite/0_Colquiriite_298.00_1.00_.cif,Colquiriite,Ca Li Al F₆,"Bolotina N. B., Maksimov B. A., Simonov V. I., Derzhavin S. I., Uvarova T. V., Apollonov V. V., Atomic structure and spectral properties of LiCaAlF6:Cr3+ single crystals, Crystallography Reports, 38, 446–450 (1993)."
/Volumes/Sajid's SSD/MinX-EQ/Margarosanite/0_Margarosanite_298.00_1.00_.cif,Margarosanite,Pb Ca₂ Si₃ O₉,"Freed R. L., Peacor D. R., Determination and refinement of the crystal structure of margarosanite, PbCa2Si3O9, Zeitschrift fur Kristallographie, 128, 213–228 (1969)."
/Volumes/Sajid's SSD/MinX-EQ/Eglestonite/0_Eglestonite_298.00_1.00_.cif,Eglestonite,Hg₆ Cl₃ O₂,"Mereiter K., Zemann J., Hewat A. W., Eglestonite, [Hg2]3Cl3O2H: Confirmation of the chemical formula by neutron powder diffraction sample SX examined by single-crystal X-ray diffraction, American Mineralogist, 77, 839–842 (1992)."
/Volumes/Sajid's SSD/MinX-EQ/Varennesite/0_Varennesite_298.00_1.00_.cif,Varennesite,Na₈ Mn₂ Si₁₀ O₃₉ H₂,"Grice J. D., Gault R. A., Varennesite, a new species of hydrated Na-Mn silicate with a unique monophyllosilicate structure, The Canadian Mineralogist, 33, 1073–1081 (1995)."
/Volumes/Sajid's SSD/MinX-EQ/Akermanite/0_Akermanite_298.00_49346.15_.cif,Akermanite,Mg Ca₂ Si₂ O₇,"Merlini M., Gemmi M., Hanfland M., Crichton W., High-pressure behavior of akermanite and gehlenite and phase stability of the normal structures in melelites Note: P = 5 GPa, American Mineralogist, 94, 704–709 (2009)."
/Volumes/Sajid's SSD/MinX-EQ/Grechishchevite/0_Grechishchevite_298.00_1.00_.cif,Grechishchevite,Hg₆ S₄ Br₂ Cl I,"Pervukhina N. V., Vasil'ev V. I., Borisov S. V., Magarill S. A., Naumov D. Y., The crystal structure of a polymorph of Hg3S2Br1Cl.5I.5, The Canadian Mineralogist, 41, 1445–1453 (2003)."
/Volumes/Sajid's SSD/MinX-EQ/Beyerite/0_Beyerite_298.00_1.00_.cif,Beyerite,Bi₂ Ca C₂ O₈,"Grice J. D., A solution to the crystal structures of bismutite and beyerite, The Canadian Mineralogist, 40, 693–698 (2002)."
/Volumes/Sajid's SSD/MinX-EQ/Hollingworthite/0_Hollingworthite_298.00_1.00_.cif,Hollingworthite,Pd As S,"Foecker A. J., Jeitschko W., The atomic order of the pnictogen and chalcogen atoms in equiatomic ternary compounds TPnCh (T = Ni, Pd; Pn = P, As, Sb; Ch = S, Se, Te), Journal of Solid State Chemistry, 162, 69–78 (2001)."
/Volumes/Sajid's SSD/MinX-EQ/Raguinite/0_Raguinite_298.00_1.00_.cif,Raguinite,Tl Fe S₂,"Welz D., Deppe P., Schaefer W., Sabrowsky H., Rosenberg M., Magnetism of iron-sulfur tetrahedral frameworks in compounds with thallium I. Chain structures, Journal of Physics and Chemistry of Solids, 50, 297–308 (1989)."
/Volumes/Sajid's SSD/MinX-EQ/Troilite/0_Troilite_298.00_1.00_.cif,Troilite,Fe S,"Skala R., Cisarova I., Drabek M., Inversion twinning in troilite Sample: Etter, American Mineralogist, 91, 917–921 (2006)."
/Volumes/Sajid's SSD/MinX-EQ/Tarapacaite/0_Tarapacaite_298.00_1.00_.cif,Tarapacaite,K₂ Cr O₄,"McGinnety J. A., Redetermination of the structures of potassium sulphate and potassium chromate: the effect of electrostatic crystal forces upon observed bond length, Acta Crystallographica, Section B, 28, 2845–2852 (1972)."
/Volumes/Sajid's SSD/MinX-EQ/Bandylite/0_Bandylite_298.00_1.00_.cif,Bandylite,Cu B O₄ Cl H₄,"Li Y., Burns P. C., Refinement of the structure of bandylite, The Canadian Mineralogist, 38, 713–715 (2000)."
/Volumes/Sajid's SSD/MinX-EQ/Vladimirite/0_Vladimirite_298.00_1.00_.cif,Vladimirite,Ca₄ As₃ O₁₆ H₉,"Yang H., Evans S. H., Downs R. T., Jenkins R. A., The crystal structure of vladimirite, with a revised chemical formula, Ca4(AsO4)2(AsO3OH)*4H2O Note: Sample R080001, The Canadian Mineralogist, 49, 1055–1064 (2011)."
/Volumes/Sajid's SSD/MinX-EQ/Dysprosium/0_Dysprosium_298.00_1.00_.cif,Dysprosium,Dy,"Spedding F. H., Daane A. H., Herrmann K. W., The crystal structures and lattice parameters of high-purity scandium, yttrium and the rare earth metals Note: sample 99.8% pure, Acta Crystallographica, 9, 559–563 (1956)."
/Volumes/Sajid's SSD/MinX-EQ/Realgar/0_Realgar_298.00_1.00_.cif,Realgar,As S,"Kyono A., Kimata M., Hatta T., Light-induced degradation dynamics in realgar: in situ structural investigation using single crystal X-ray diffraction and X-ray photoelectron spectroscopy Sample: Getchell mine, Nevada; t = 0 hours Note: space group corrected, American Mineralogist, 90, 1563–1570 (2005)."
/Volumes/Sajid's SSD/MinX-EQ/Ludlockite/0_Ludlockite_298.00_1.00_.cif,Ludlockite,Pb Fe₄ As₁₀ O₂₂,"Cooper M. A., Hawthorne F. C., The crystal structure of ludlockite, PbFe4As10O22, the mineral with pentameric arsenite groups and orange hair, The Canadian Mineralogist, 34, 79–89 (1996)."
/Volumes/Sajid's SSD/MinX-EQ/Bindheimite/0_Bindheimite_298.00_1.00_.cif,Bindheimite,Pb₂ Sb₂ O₇,"Natta G., Baccaredda M., Tetrossido di antimonio e antimoniati, Zeitschrift fur Kristallographie, 85, 271–296 (1933)."
/Volumes/Sajid's SSD/MinX-EQ/Lanthanum/0_Lanthanum_298.00_1.00_.cif,Lanthanum,La,"Spedding F. H., Daane A. H., Herrmann K. W., The crystal structures and lattice parameters of high-purity scandium, yttrium and the rare earth metals Note: sample 99.8% pure, Acta Crystallographica, 9, 559–563 (1956)."
/Volumes/Sajid's SSD/MinX-EQ/Neodymium/0_Neodymium_298.00_1.00_.cif,Neodymium,Nd,"Spedding F. H., Daane A. H., Herrmann K. W., The crystal structures and lattice parameters of high-purity scandium, yttrium and the rare earth metals Note: sample 99.8% pure, Acta Crystallographica, 9, 559–563 (1956)."
/Volumes/Sajid's SSD/MinX-EQ/Okayamalite/0_Okayamalite_298.00_1.00_.cif,Okayamalite,Ca₂ Si B₂ O₇,"Giuli G., Bindi L., Bonazzi P., Rietveld refinement of okayamalite, Ca2SiB2O7: Structural evidence for the B/Si ordered distribution, American Mineralogist, 85, 1512–1515 (2000)."
/Volumes/Sajid's SSD/MinX-EQ/Merwinite/0_Merwinite_298.00_1.00_.cif,Merwinite,Ca₃ Mg Si₂ O₈,"Moore P. B., Araki T., Atomic arrangement of merwinite, Ca3Mg[SiO4]2, an unusual dense-packed structure of geophysical interest, American Mineralogist, 57, 1355–1374 (1972)."
/Volumes/Sajid's SSD/MinX-EQ/Leadhillite/0_Leadhillite_298.15_1.00_.cif,Leadhillite,Pb₄ S C₂ O₁₂ H₂,"Bindi L., Menchetti S., Structural changes accompanying the phase transformation between leadhillite and susannite: a structural study by means of in situ high-temperature single- crystal X-ray diffraction Sample: Chah Mileh Mine, Anarak District, Esfahan Province, Iran Sample: T = 25 C, American Mineralogist, 90, 1641–1647 (2005)."
/Volumes/Sajid's SSD/MinX-EQ/Kukharenkoite-(La)/0_Kukharenkoite-(La)_298.00_1.00_.cif,Kukharenkoite-(La),Ba₂ La F C₃ O₉,"Krivovichev S. V., Armbruster T., Pekov I. V., Cation frameworks in structure of natural fluocarbonates of barium and rare-earth elements: crystal structure of kukharenkoite-(La), Ba2(La,Ce)(CO3)3F, Zapiski Vserossijskogo Mineralogicheskogo Obshchestva, 132N3, 65–72 (2003)."
/Volumes/Sajid's SSD/MinX-EQ/Lanarkite/0_Lanarkite_298.00_1.00_.cif,Lanarkite,Pb₂ S O₅,"Sahl K., Zur kristallstruktur von lanarkit, Pb2O(SO4), Zeitschrift fur Kristallographie, 132, 99–117 (1970)."
/Volumes/Sajid's SSD/MinX-EQ/Roaldite/0_Roaldite_298.00_1.00_.cif,Roaldite,Fe₄ N,"Bayliss P., Revised unit cell dimensions, space group, and chemical formula of some metallic minerals Note: Fe and N positions switched to match formula Note: cell edge taken from Handbook of Mineralogy, The Canadian Mineralogist, 28, 751–755 (1990)."
/Volumes/Sajid's SSD/MinX-EQ/Hafnium/0_Hafnium_298.00_1.00_.cif,Hafnium,Hf,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Hexagonal closest packed, hcp, structure, Crystal Structures, 1, 7–83 (1963)."
/Volumes/Sajid's SSD/MinX-EQ/Geigerite/0_Geigerite_298.00_1.00_.cif,Geigerite,As₄ Mn₅ O₂₆ H₂₂,"Graeser S., Schwander H., Bianchi R., Pilati T., Gramaccioli C. M., Geigerite, the Mn analogue of chudobaite: Its description and crystal structure, American Mineralogist, 74, 676–684 (1989)."
/Volumes/Sajid's SSD/MinX-EQ/Paratellurite/0_Paratellurite_298.00_1.00_.cif,Paratellurite,Te O₂,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York, Crystal Structures, 1, 239–444 (1963)."
/Volumes/Sajid's SSD/MinX-EQ/Tungsten/0_Tungsten_298.00_1.00_.cif,Tungsten,W,"Dubrovinsky L. S., Saxena S. K., Thermal expansion of periclase (MgO) and tungsten (W) to melting temperatures Sample: T = 298 K, Physics and Chemistry of Minerals, 24, 547–550 (1997)."
/Volumes/Sajid's SSD/MinX-EQ/Niobocarbide/0_Niobocarbide_298.00_1.00_.cif,Niobocarbide,Nb C,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York rocksalt structure, Crystal Structures, 1, 85–237 (1963)."
/Volumes/Sajid's SSD/MinX-EQ/Ferro-hornblende/0_Ferro-hornblende_298.00_1.00_.cif,Ferro-hornblende,Na Ca₂ Fe₅ Si₈ O₂₄ H₂,"Guha R., Nag D. K., Iyengar S. V. P., Structure of an amphibole from Simlipal granite, India, Indian Minerals, 41, 32–41 (1987)."
/Volumes/Sajid's SSD/MinX-EQ/Guyanaite/0_Guyanaite_298.00_1.00_.cif,Guyanaite,Cr O₂ H,"Jahn S., Wunder B., Koch-Muller M., Tarrieu L., Pohle M., Watenphul A., Taran M. N., Pressure-induced hydrogen bond symmetrisation in guyanaite, B-CrOOH: evidence from spectroscopy and ab initio simulations Sample: Run LT9, European Journal of Mineralogy, 24, 839–850 (2012)."
/Volumes/Sajid's SSD/MinX-EQ/Berthierite/0_Berthierite_298.00_1.00_.cif,Berthierite,Fe Sb₂ S₄,"Buerger M. J., The crystal structure of berthierite, American Mineralogist, 21, 205–206 (1936)."
/Volumes/Sajid's SSD/MinX-EQ/Seifertite/0_Seifertite_298.00_1.00_.cif,Seifertite,Si O₂,"Dera P., Prewitt C. T., Boctor N. Z., Hemley R. J., Characterization of a high-pressure phase of silica from the Martian meteorite Shergotty alpha-PbO2-like, American Mineralogist, 87, 1018–1023 (2002)."
/Volumes/Sajid's SSD/MinX-EQ/Strontium-III/0_Strontium-III_298.00_308906.90_.cif,Strontium-III,Sr,"Winzenick M., Holzapfel W. B., Structural study on the high-pressure phase strontium III Sample: at P = 31.3 GPa, Physical Review, B53, 2151–2154 (1996)."
/Volumes/Sajid's SSD/MinX-EQ/Adamite/0_Adamite_298.00_1.00_.cif,Adamite,As Zn₂ O₅ H,"Hill R. J., The crystal structure and infrared properties of adamite, American Mineralogist, 61, 979–986 (1976)."
/Volumes/Sajid's SSD/MinX-EQ/Shannonite/0_Shannonite_298.00_1.00_.cif,Shannonite,Pb₂ C O₄,"Krivovichev S. V., Burns P. C., Crystal chemistry of basic lead carbonates. I. Crystal structure of synthetic shannonite, Pb2O(CO3), Mineralogical Magazine, 64, 1063–1068 (2000)."
/Volumes/Sajid's SSD/MinX-EQ/Stilleite/0_Stilleite_298.00_1.00_.cif,Stilleite,Zn Se,"Wyckoff R. W. G., Second edition. Interscience Publishers, New York, New York Note: ZnS structure, sphalerite structure, Crystal Structures, 1, 85–237 (1963)."
/Volumes/Sajid's SSD/MinX-EQ/Raadeite/0_Raadeite_298.00_1.00_.cif,Raadeite,Mg₇ P₂ O₁₆ H₈,"Chopin C., Ferraris G., Prencipe M., Brunet F., Medenbach O., Raadeite, Mg7(PO4)2(OH)8: a new dense-packed phosphate from Modum (Norway), European Journal of Mineralogy, 13, 319–327 (2001)."
/Volumes/Sajid's SSD/MinX-EQ/Xenotime-(Yb)/0_Xenotime-(Yb)_298.00_1.00_.cif,Xenotime-(Yb),Yb P O₄,"Ni Y., Hughes J. M., Mariano A. N., Crystal chemistry of the monazite and xenotime structures, American Mineralogist, 80, 21–26 (1995)."
/Volumes/Sajid's SSD/MinX-EQ/Cadmoselite/0_Cadmoselite_298.00_1.00_.cif,Cadmoselite,Cd Se,"Freeman D. K., Mair S. L., Barnea Z., The structure and Bijvoet ratios of cadmium selenide, Acta Crystallographica, Section A, 33, 355–359 (1977)."
/Volumes/Sajid's SSD/MinX-EQ/Lazulite/0_Lazulite_298.00_1.00_.cif,Lazulite,Mg Al₂ P₂ O₁₀ H₂,"Lindberg M. L., Christ C. L., Crystal structures of the isostructural minerals lazulite, scorzalite and barbosalite, Acta Crystallographica, 12, 695–697 (1959)."
/Volumes/Sajid's SSD/MinX-EQ/Breyite/0_Breyite_298.00_1.00_.cif,Breyite,Ca Si O₃,"Brenker F. E., Nestola F., Brenker L., Peruzzo L., Harris J. W., Origin, properties, and structure of breyite: The second most abundant mineral inclusion in super-deep diamonds, American Mineralogist, 106, 38–43 (2021)."
/Volumes/Sajid's SSD/MinX-EQ/Carnallite/0_Carnallite_298.00_1.00_.cif,Carnallite,K Mg Cl₃ O₆ H₁₂,"Schlemper E. O., Sen Gupta. P. K., Zoltai T., Refinement of the structure of carnallite, Mg(H2O)6KCl3, American Mineralogist, 70, 1309–1313 (1985)."
/Volumes/Sajid's SSD/MinX-EQ/Simonellite/0_Simonellite_298.00_1.00_.cif,Simonellite,C₁₉,"Foresti E., Riva di. Sanseverino. L., The X-ray crystal and molecular structure of an organic mineral: simonellite, C19H24, Atti della Accademia Nazionale dei Lincei, 47, 41–54 (1969)."
