Filename,Exp_Density (g/cm³),Exp_a (Å),Exp_b (Å),Exp_c (Å),Exp_alpha (°),Exp_beta (°),Exp_gamma (°),Sim_Density (g/cm³),Sim_a (Å),Sim_b (Å),Sim_c (Å),Sim_alpha (°),Sim_beta (°),Sim_gamma (°)
0_Chlormanganokalite_298.00_1.01_,2.319412547517424,16.936,8.468,16.935999999999996,89.53,89.53,89.53,2.0866360781542004,17.544079209312656,8.772039604656253,17.54407920931232,89.53000000001128,89.53000000001128,89.53000000001128
0_Cavoite_298.00_1.01_,3.522272494759036,10.459,10.59,10.382,90.0,90.0,90.0,3.3214640062887875,10.665723333387838,10.79931256339784,10.587201419565366,90.0,90.0,90.0
0_Cuproscheelite_298.00_1.01_,7.792204975876598,9.398,11.634,9.774,91.33,92.08,83.9,7.380723250894882,9.569519096644912,11.846327428215265,9.952381320558333,91.33000000000396,92.08000000000403,83.90000000000651
0_Ghiaraite_298.00_1.01_,1.7567823794845685,13.186,12.728,8.557,97.77,93.52,110.56,1.0023839201944489,15.95601530297871,15.401802121668087,10.354589939905225,97.77000000000643,93.52000000000588,110.56000000000192
0_Chursinite_298.00_1.01_,9.050795498950206,8.73,10.16,15.640000000000002,90.0,128.39999999999998,90.0,7.887735129050945,9.140211589791884,10.63740546990672,16.374903695801418,90.0,128.4000000000123,90.0
0_Neighborite_298.00_1.01_,3.071482185147365,10.7206,10.9768,7.666,90.0,90.0,90.0,2.883907510470633,10.948231944665585,11.209871873794942,7.828773211182851,90.0,90.0,90.0
0_Namansilite_298.00_1.01_,3.605775649838223,9.513,8.621,10.708,90.0,105.14,90.0,3.421505399855137,9.680823216352191,8.77308703334089,10.896904761978108,90.0,105.1400000000104,90.0
0_Odintsovite_298.00_1.01_,2.8827869551011003,14.243,13.045,33.4839,90.0,90.0,90.0,2.7288096744722745,14.506050291466842,13.285924738621448,34.10230550828134,90.0,90.0,90.0
0_Orishchinite_298.00_1.01_,6.862152988362402,11.604,7.1866,13.5116,90.0,90.0,90.0,7.258264652895084,11.388958631953724,7.0534203812822005,13.261207639736831,90.0,90.0,90.0
0_Henmilite_298.00_1.01_,2.5235426839912303,5.7617,7.9774,11.2976,109.611,91.473,83.68599999999999,2.378333302907459,5.876719488531671,8.136650996721988,11.52313138372977,109.61099999999192,91.47299999999834,83.68599999999137
0_Hatchite_298.00_1.01_,5.717718619247703,9.37,15.68,16.12,66.42,63.32999999999999,84.97,5.215318252676964,9.661936068168632,16.168533356337864,16.62224220052078,66.42000000000068,63.329999999998485,84.96999999998961
0_Ilmenite_297.15_1.01_,4.785709205228578,5.0884,10.176799999999998,14.0855,90.0,90.0,120.0,4.562159433051062,5.1701968537652325,10.34039370753051,14.311926692813111,90.0,90.0,120.0
0_Britholite_298.00_1.01_,3.377063615674796,9.3938,9.3938,13.8026,90.0,90.0,120.0,2.9620232938517472,9.813777088305464,9.813777088305631,14.419685285938494,90.0,90.0,120.0
0_Scorzalite_298.00_1.01_,3.3772266935403024,14.3,7.31,7.25,90.0,120.57999999999998,90.0,3.287885870557266,14.428395664124883,7.375634426905766,7.315095703839463,90.0,120.57999999999836,90.0
0_Protoenstatite_298.00_1.01_,3.2510763213270777,9.171,8.513,10.508,90.0,90.0,90.0,2.9693574352665832,9.45236419095971,8.774176900843887,10.83038304640773,90.0,90.0,90.0
0_Reppiaite_298.00_1.01_,4.953007594556578,9.291,9.008,10.298,90.0,98.7,90.0,4.909189007988153,9.318571558206518,9.034731739998216,10.328559886601202,90.0,98.70000000000807,90.0
0_Cadmium_298.00_1.01_,8.647908460899972,8.93661,8.93661,16.85295,90.0,90.0,120.0,7.637870844677642,9.314757024831492,9.314757024831476,17.566071967069814,90.0,90.0,120.0
0_Rosiaite_298.00_1.01_,6.960023855074562,10.59,10.589999999999998,10.744,90.0,90.0,120.0,6.586493602189007,10.786543811850676,10.786543811850638,10.94340195604576,90.0,90.0,120.0
0_Bicchulite_298.00_1.01_,2.793842663187577,8.825,8.825,8.825,90.0,90.0,90.0,2.4726222463853653,9.19193888083066,9.19193888083066,9.19193888083066,90.0,90.0,90.0
0_Macfallite_298.00_1.01_,3.5162792377929164,10.235,12.172,8.969999999999999,90.0,110.75,90.0,3.484526180528476,10.2660078973759,12.20887622148114,8.997175460621566,90.0,110.75,90.0
0_Paraniite-(Y)_298.00_1.01_,5.9748482477245775,5.135,5.135,33.882,90.0,90.0,90.0,5.625245735054169,5.239263895194711,5.239263895194711,34.56995896728157,90.0,90.0,90.0
0_Melonjosephite_298.00_1.01_,3.615911124155486,9.542,10.834,6.374,90.0,90.0,90.0,3.426341294245081,9.714878626300266,11.030286631454151,6.4894819077800685,90.0,90.0,90.0
0_Linarite_298.00_1.01_,5.329459468515841,9.682,11.292,9.366,90.0,102.66,90.0,4.90570237385596,9.953321065560177,11.608438491252384,9.628465719896356,90.0,102.65999999998871,90.0
0_Phuralumite_298.00_1.01_,3.449973982129941,13.836,20.918,9.428000000000004,90.0,112.43999999999998,90.0,3.260122850393705,14.09967876567262,21.316643568975216,9.60767356192264,90.0,112.43999999999716,90.0
0_Mavlyanovite_298.00_1.01_,5.98845037556694,13.82,6.91,9.628,90.0,90.0,120.0,5.968682624087348,13.83524498824951,6.917622494124737,9.63862074868781,90.0,90.0,120.0
0_Pinnoite_298.00_1.01_,2.2057022157456343,15.24,7.62,8.19,90.0,90.0,90.0,1.322120032257225,18.138717338250437,9.069358669125217,9.74777526248482,90.0,90.0,90.0
0_Eldragonite_298.00_1.01_,6.776454125110666,4.0341,27.056,9.5559,90.0,90.0,90.0,6.45410048223556,4.100308210515343,27.500046836643225,9.71273276043319,90.0,90.0,90.0
0_Thorutite_298.00_1.01_,6.089321288167295,9.814,7.6456,14.0626,90.0,118.82,90.0,5.8808780897474335,9.928620268945927,7.734894959063943,14.226840777876452,90.0,118.81999999999834,90.0
0_Esperite_298.00_1.01_,4.552426206397688,8.7889,8.2685,15.2535,90.0,90.05,90.0,4.344245008256316,8.92713152935321,8.398546695315373,15.493406544958862,90.0,90.04999999999227,90.0
0_Ferritaramite_298.00_1.01_,3.781496618828898,9.923,18.134,5.352,90.0,104.84,90.0,3.2338108533096954,10.454524319245843,19.105345561342723,5.638679245853504,90.0,104.84000000001042,90.0
0_Tiptopite_298.00_1.01_,3.2000623678080315,11.655,11.655,4.692,90.0,90.0,120.0,2.0731749139151536,13.478005078281608,13.47800507828159,5.425894451076599,90.0,90.0,120.0
0_Vanadium_298.00_1.01_,6.117943494244897,9.072,9.072,9.072,90.0,90.0,90.0,6.205432266491741,9.029164262672245,9.029164262672245,9.029164262672245,90.0,90.0,90.0
0_Dysprosium_298.00_1.01_,8.560203890269095,10.7709,10.770899999999996,16.9425,90.0,90.0,120.0,8.500506959080914,10.79605685288732,10.796056852887345,16.982071436003285,90.0,90.0,120.0
0_Paralaurionite_298.00_1.01_,6.161703804640252,10.865,8.012,14.466,90.0,117.23999999999998,90.0,5.564839177391441,11.24080775833628,8.28912579473451,14.966362175065964,90.0,117.23999999999324,90.0
0_Lintisite_298.00_1.01_,2.816981906148318,28.583,8.6,5.219,90.0,91.03,90.0,2.6880358126417474,29.03306856271492,8.735415793980637,5.301178491719165,90.0,91.03000000001155,90.0
0_Parafransoletite_298.00_1.01_,2.5581651497060607,7.3275,7.6959,14.1212,94.903,96.82,101.86499999999998,2.430494023304395,7.453669113865775,7.82841243717502,14.364346951991951,94.90299999999417,96.82000000000602,101.8649999999936
0_Manganhumite_298.00_1.01_,3.839211434427046,4.815,10.58,21.448,90.0,90.0,90.0,3.784357221240725,4.83815702606575,10.630882935778942,21.5511509647056,90.0,90.0,90.0
0_Magnesiofoitite_298.00_1.01_,3.051667305580888,15.9476,15.9476,7.1578,90.0,90.0,120.0,2.572665690989429,16.88199854429586,16.88199854429579,7.577188365670074,90.0,90.0,120.0
0_Piergorite-(Ce)_298.00_1.01_,3.673196679354441,28.097,4.777,10.236,90.0,96.81,90.0,3.557210132013126,28.399190064109952,4.828377796072638,10.346090667908651,90.0,96.80999999999788,90.0
0_Matlockite_298.00_1.01_,7.204690034015929,12.27,8.18,14.42,90.0,90.0,90.0,6.581461778754664,12.645888339125882,8.430592226083911,14.86175304402568,90.0,90.0,90.0
0_Titanium-beta_1173.00_1.01_,4.397539220644259,9.9195,9.9195,9.9195,90.0,90.0,90.0,4.477635685437618,9.860009277969851,9.860009277969851,9.860009277969851,90.0,90.0,90.0
0_Eudidymite_298.00_1.01_,2.56684389581767,12.62,7.37,13.99,90.0,103.72,90.0,2.0920713741020136,13.512438803853264,7.891178604152129,14.97932003691832,90.0,103.71999999998644,90.0
0_Varennesite_298.00_1.01_,2.2392096451546,13.447,15.022,17.601,90.0,90.0,90.0,2.233481219158211,13.458516955544257,15.034865896199088,17.616074732991677,90.0,90.0,90.0
0_Dumontite_298.00_1.01_,5.624297202739909,8.118,16.819,6.983,90.0,109.03,90.0,5.169931338280593,8.349473157391813,17.298569725816034,7.18211025598262,90.0,109.03000000001428,90.0
0_Debattistiite_298.00_1.01_,6.191515621276088,15.664,8.606,10.755,95.56300000000002,95.88,116.79,5.216555771343243,16.586210567468033,9.112674166472802,11.38819552177718,95.5630000000089,95.88000000000388,116.78999999999644
0_Ferrofettelite_298.00_1.01_,5.60598391932108,26.011,15.048,15.512999999999998,90.0,90.4,90.0,5.29206522504049,26.51563166737253,15.339941768121903,15.813963094688722,90.0,90.40000000000772,90.0
0_Uvite_298.00_1.01_,3.078726504561582,15.917,15.917,7.189,90.0,90.0,120.0,2.977284097934344,16.095778022465332,16.09577802246525,7.269746070459446,90.0,90.0,120.0
0_Hawthorneite_298.00_1.01_,5.424800701738058,5.871,5.871,23.06,90.0,90.0,120.0,4.840987190110244,6.098141583495285,6.0981415834952575,23.952162308874097,90.0,90.0,120.0
0_Hydrochlorborite_298.00_1.01_,1.841023522564749,22.783,8.745,17.066,90.0,96.705,90.0,1.7433250077855107,23.20126293212908,8.905545553327824,17.37930707982781,90.0,96.70500000000465,90.0
0_IMA2009-083_298.00_1.01_,9.37225827440072,11.214,11.214,7.476,90.0,90.0,90.0,9.287202171772543,11.248133220084927,11.248133220084927,7.498755480056619,90.0,90.0,90.0
0_Rhodochrosite_298.00_1.01_,3.699409484870969,4.7771,9.554199999999998,15.664,90.0,90.0,120.0,3.5155473324815074,4.858979521746752,9.71795904349365,15.932481050981028,90.0,90.0,120.0
0_Brizziite_298.00_1.01_,4.95302953083822,10.602,5.301,15.932,90.0,90.0,120.0,4.668495154319166,10.813202359489178,5.406601179744588,16.249381248007996,90.0,90.0,120.0
0_Betekhtinite_298.00_1.01_,6.879925244850643,3.86,14.67,22.8,90.0,90.0,90.0,5.889681724340274,4.065489090547958,15.45096501511368,24.013769757641093,90.0,90.0,90.0
0_Scheuchzerite_298.00_1.01_,3.7294904895769214,9.831,10.107,13.855,86.222,73.383,71.987,3.3260271738016485,10.213617619074125,10.50035940148322,14.394229693039248,86.22200000000552,73.38299999999283,71.98700000000328
0_Rorisite_298.00_1.01_,3.0365702629391302,11.682,7.788,13.636,90.0,90.0,90.0,2.875674621234658,11.8959970498759,7.930664699917262,13.885791454554472,90.0,90.0,90.0
0_Beaverite_298.00_1.01_,4.192784945182179,7.3028,7.3028,17.0517,90.0,90.0,120.0,4.1675829960692745,7.318242670650399,7.31824267065041,17.08775792122599,90.0,90.0,120.0
0_Romerite_298.00_1.01_,2.174374624224685,6.463,15.309,6.341,90.53,101.08,85.73,2.057357968277562,6.58339002883909,15.594169573185471,6.459117464469901,90.53000000001148,101.08000000000514,85.72999999999529
0_Kovdorskite_298.00_1.01_,2.3025870203753818,10.4785,12.9336,4.7308,90.0,105.054,90.0,2.2024124682667705,10.635078821003784,13.12686505123204,4.801491710302496,90.0,105.05400000000316,90.0
0_Lautarite_298.00_1.01_,4.593648689638016,14.2864,11.297,7.2804,90.0,106.35,90.0,4.303457108608449,14.600776544609484,11.54559389520476,7.440607399721003,90.0,106.34999999998996,90.0
0_Javorieite_298.00_1.01_,2.820770530648033,8.712,11.535,14.15,90.0,90.0,90.0,2.60637681412066,8.944847639415752,11.843298613482714,14.528190323431376,90.0,90.0,90.0
0_Keiviite-(Yb)_298.00_1.01_,6.152917612548686,13.604,8.875,9.406,90.0,102.12,90.0,5.601623508161217,14.036479238911616,9.157141520533632,9.705022325874914,90.0,102.11999999999608,90.0
0_Sursassite_298.00_1.01_,3.573707537264112,8.7201,5.8053,9.8075,90.0,109.011,90.0,3.1079109319223184,9.136340076671994,6.082406743856579,10.27564538273173,90.0,109.011000000002,90.0
0_Anthoinite_298.00_1.01_,4.880502876802366,8.196,9.187,11.316,92.82,94.07999999999998,90.23,4.33329252146437,8.527723311479315,9.558832852923302,11.77400158524886,92.82000000000598,94.08000000000432,90.2299999999946
0_Augite_298.00_1.01_,3.32540383224344,9.699,8.844,10.544,90.0,106.96999999999998,90.0,3.11575538851054,9.911865055205755,9.038100273042607,10.775410366232586,90.0,106.969999999986,90.0
0_Sinjarite_298.00_1.01_,1.83799314515636,11.786,7.469,12.07,90.0,90.0,90.0,1.6425087090517732,12.236843708491843,7.754707759946228,12.531707412310896,90.0,90.0,90.0
0_Siegenite_298.00_1.01_,4.830187979603619,9.424,9.424,9.424,90.0,90.0,90.0,4.758290587367901,9.471231468162058,9.471231468162058,9.471231468162058,90.0,90.0,90.0
0_Ammoniojarosite_298.00_1.01_,3.0007885255420588,7.3177,7.3177,17.534,90.0,90.0,120.0,1.509658148133228,10.502277626491292,10.502277626491292,25.16459214000277,90.0,90.0,120.0
0_Aplowite_298.00_1.01_,2.3601859556544134,5.952,13.576,7.907999999999999,90.0,90.53,90.0,2.244283718180452,6.052818025631745,13.805957243947743,8.041949755829329,90.0,90.53000000001148,90.0
0_Nickeline_298.00_1.01_,7.883100310164223,10.71,10.71,10.2,90.0,90.0,120.0,7.581634825505882,10.850122194454936,10.850122194455052,10.333449709004787,90.0,90.0,119.99999999999996
0_Mitscherlichite_298.00_1.01_,2.426665222767142,14.9,7.45,7.88,90.0,90.0,90.0,2.17407617841281,15.456788927379185,7.728394463689592,8.174462868976466,90.0,90.0,90.0
0_Morinite_298.00_1.01_,2.9816380474186586,9.454,10.692,5.444,90.0,105.5,90.0,2.8358645043624944,9.613339282426724,10.872204739550186,5.535754078012583,90.0,105.5,90.0
0_Fizelyite_298.00_1.01_,6.727095810918348,19.2767,13.2345,8.722999999999999,90.0,90.40099999999998,90.0,5.682708180113173,20.393643574428108,14.001342340015173,9.228433959118451,90.0,90.40100000000864,90.0
0_Fresnoite_298.00_1.01_,4.470138532967861,8.5104,8.5104,10.395,90.0,90.0,90.0,4.223623868737244,8.672876534791,8.672876534791,10.593456427330397,90.0,90.0,90.0
0_Cesium_5.00_1.01_,1.998172484003035,18.135,18.135,18.135,90.0,90.0,90.0,1.847367836377361,18.62342554834336,18.62342554834336,18.62342554834336,90.0,90.0,90.0
0_Zirsinalite_298.00_1.01_,3.161444546338624,10.593,10.593000000000002,10.593000000000002,58.13000000000002,58.13000000000002,58.13000000000002,2.9294294412890456,10.865629958858324,10.86562995885832,10.8656299588584,58.13000000000338,58.13000000000337,58.13000000000338
0_Gartrellite_298.00_1.01_,5.407834416026313,10.862,11.284,7.573000000000001,67.62,69.56999999999998,70.30999999999999,4.99443707815934,11.154331011165244,11.5876883750679,7.776813547003695,67.61999999999645,69.57000000000563,70.30999999999794
0_Coskrenite-(Ce)_298.00_1.01_,2.863112314008044,12.014,8.368,9.189,99.9,105.55,107.70999999999998,2.763236370637869,12.157156643312002,8.467711569105589,9.29849445608402,99.9000000000092,105.5499999999932,107.71000000000704
0_Cobaltkieserite_298.00_1.01_,3.232760265095608,13.886,7.614,7.639,90.0,118.33,90.0,3.087697994306496,14.100217535122768,7.731460198215731,7.756845869998754,90.0,118.32999999999912,90.0
0_Weberite_298.00_1.01_,4.660364929321644,7.051,9.968,7.285,90.0,90.0,90.0,1.7789253053739529,9.730692584350924,13.756281900554525,10.053622958019558,90.0,90.0,90.0
0_Nordite-(La)_298.00_1.01_,3.716615932504431,14.27,5.16,19.45,90.0,90.0,90.0,3.430725701093596,14.65594892352238,5.299558265268113,19.976048112299303,90.0,90.0,90.0
0_Nezilovite_298.00_1.01_,5.953501562482733,5.849,5.848999999999999,22.809,90.0,90.0,120.0,5.100655445438694,6.158432880098845,6.158432880098892,24.015677134924708,90.0,90.0,120.0
0_Mounanaite_298.00_1.01_,4.837419394810557,9.294,12.332,7.712999999999999,90.0,115.57,90.0,4.655851371743276,9.41341433931931,12.49044820663716,7.812100796123255,90.0,115.56999999999974,90.0
0_Cerium_298.00_1.01_,6.76931546533672,15.4836,15.4836,10.3224,90.0,90.0,90.0,8.61057568018386,14.291990128848711,14.291990128848711,9.527993419232418,90.0,90.0,90.0
0_Chesterite_298.00_1.01_,3.064492173927987,18.614,45.306,5.297,90.0,90.0,90.0,2.904368961961725,18.950049754935065,46.12393650999803,5.392629931873381,90.0,90.0,90.0
0_Weissite_298.00_1.01_,6.722335596386374,8.3124,8.312399999999998,21.546,90.0,90.0,120.0,6.816311637417758,8.274289253748115,8.274289253748137,21.44721575733331,90.0,90.0,120.0
0_Gamagarite_298.00_1.01_,4.739941696436183,9.121,12.284,7.837999999999999,90.0,112.88,90.0,4.38197577912857,9.36296524502539,12.609874473181764,8.045929348811391,90.0,112.880000000004,90.0
0_Crawfordite_298.00_1.01_,3.181097532763606,9.187,10.558,6.707,90.0,90.0,89.98000000000002,2.915696584722733,9.457844010386433,10.869262769310955,6.9047305733821664,90.0,90.0,89.97999999999462
0_Lanarkite_298.00_1.01_,7.000918373436691,13.769,11.396,7.079,90.0,115.93000000000002,90.0,6.445209228757274,14.154148546801116,11.714770632532865,7.277014856765605,90.0,115.93000000000042,90.0
0_Kosmochlor_297.15_1.01_,3.592469112930939,9.579,8.722,10.534,90.0,107.37000000000002,90.0,3.406538785308008,9.750218292019266,8.877899983609119,10.72228828563839,90.0,107.36999999999604,90.0
0_Kinoite_298.00_1.01_,3.197295636689445,6.991,12.884,11.31,90.0,96.18,90.0,3.065395942484897,7.089896821433804,13.066260999478311,11.4699947146926,90.0,96.17999999999398,90.0
0_Kerimasite_298.00_1.01_,4.3805151916497325,12.6164,12.6164,12.6164,90.0,90.0,90.0,4.084022484693761,12.914648592893036,12.914648592893036,12.914648592893036,90.0,90.0,90.0
0_Stumpflite_298.00_1.01_,13.01810460164294,12.39,12.39,10.944,90.0,90.0,120.0,12.199224143142356,12.661273661616534,12.661273661616637,11.183614120478811,90.0,90.0,120.0
0_Balipholite_298.00_1.01_,3.395909755313696,13.6,20.24,5.16,90.0,90.0,90.0,3.240936465891388,13.813433951043672,20.557639938906,5.240979352013635,90.0,90.0,90.0
0_Sulphohalite_298.00_1.01_,2.493576683591966,10.08,10.08,10.08,90.0,90.0,90.0,2.354366262147636,10.274962844421855,10.274962844421855,10.274962844421855,90.0,90.0,90.0
0_Silvialite_298.00_1.01_,3.2839181252569,12.16,12.16,7.56,90.0,90.0,90.0,2.615748511538714,13.120014128432192,13.120014128432192,8.156850889058264,90.0,90.0,90.0
0_Amakinite_298.00_1.01_,3.445829864168432,9.774,9.774,9.21,90.0,90.0,120.0,4.184166375557311,9.161996096351409,9.161996096351418,8.633311238735079,90.0,90.0,119.99999999999996
0_Averievite_298.00_1.01_,4.368013436875663,12.75,12.749999999999998,8.399,90.0,90.0,120.0,4.11549553283118,13.00570566716666,13.005705667166726,8.567444854786899,90.0,90.0,120.0
0_Trigonite_298.00_1.01_,6.361630876992875,7.26,13.56,11.09,90.0,91.5,90.0,6.084936071050052,7.368513391565679,13.762677904908015,11.255759436978463,90.0,91.5,90.0
0_Ferriallanite-(Ce)_298.00_1.01_,4.212638509848959,8.962,11.672,10.182,90.0,115.02,90.0,4.09832917000894,9.04457390559272,11.77954325218458,10.275814718449556,90.0,115.02000000000824,90.0
0_Walentaite_298.00_1.01_,5.198888006143874,26.188,7.36,10.367,90.0,90.0,90.0,2.8440642533938063,32.04879161285699,9.007144733107872,12.687101827191489,90.0,90.0,90.0
0_Eulytine_298.00_1.01_,6.8157417109180685,10.272,10.272,10.272,90.0,90.0,90.0,6.480348177734593,10.44629111941932,10.44629111941932,10.44629111941932,90.0,90.0,90.0
0_Teschemacherite_298.00_1.01_,1.545512845745764,7.255,10.709,8.746,90.0,90.0,90.0,1.4726239356512116,7.372893192013554,10.88302042636426,8.888121827339816,90.0,90.0,90.0
0_Lipscombite_298.00_1.01_,4.189628889243554,7.31,7.31,13.212,90.0,90.0,90.0,3.895706590513792,7.489429944847018,7.489429944847018,13.536299375009436,90.0,90.0,90.0
0_Lulzacite_298.00_1.01_,3.617909415300204,10.914,9.131,9.769,108.47,91.72,97.44,3.5728077622137917,10.9597547437572,9.169279875870112,9.80995456219198,108.4699999999858,91.71999999998832,97.44000000000212
0_Potassic-arfvedsonite_298.00_1.01_,3.7655087823916378,10.002,18.054,5.319,90.0,103.90000000000002,90.0,3.0788009898907087,10.76867205802107,19.437872958959453,5.726711325396328,90.0,103.90000000000002,90.0
0_Perkovaite_298.00_1.01_,3.0136547297770138,16.581,16.581,7.348,90.0,90.0,120.0,2.594391069016478,17.43059198536085,17.430591985360923,7.724503341682235,90.0,90.0,120.0
0_Petalite_298.00_1.00_,2.3990596639630204,11.22955,10.2792,11.7514,90.0,141.312,90.0,2.273155918164297,11.43324844474514,10.465659569014289,11.964564543866688,90.0,141.31200000000217,90.0
0_Calciodelrioite_298.00_1.01_,2.428946912600449,14.6389,6.9591,17.052,90.0,102.568,90.0,2.316110059951084,14.872984347412809,7.070379971997938,17.324671190600785,90.0,102.56800000001384,90.0
0_Quadruphite_298.00_1.01_,3.0109022515941324,5.4206,7.0846,20.3641,86.89,94.42,89.94,2.885022679792749,5.498341194351951,7.186205959765786,20.656157974376203,86.89000000000968,94.41999999999564,89.94000000000212
0_Qandilite_298.00_1.01_,3.0232051625230527,8.44183,8.44183,8.44183,90.0,90.0,90.0,2.8155106480275585,8.644531539623015,8.644531539623015,8.644531539623015,90.0,90.0,90.0
0_Bobjonesite_298.00_1.01_,2.275771873718129,7.394,7.4111,12.0597,90.0,106.55,90.0,2.116702537776511,7.574961640624029,7.592480148069895,12.354850540632173,90.0,106.54999999999372,90.0
0_Brandtite_298.00_1.01_,3.627886241849615,5.877,12.957,11.349999999999998,90.0,108.0,90.0,3.4107230609830133,5.99920964121223,13.226435140579603,11.586018279353183,90.0,108.0,90.0
